"","year","state","population","total_incident","annualprop"
"226","2009","New Jersey",8695567,549,6.31356184133824
"227","2009","New Mexico",1136341,15,1.32002629492379
"228","2009","New York",18703702,626,3.34693099793827
"229","2009","North Carolina",9378135,103,1.09829939534886
"230","2009","North Dakota",614661,14,2.27767826492977
"231","2009","Ohio",9477815,297,3.13363364868379
"232","2009","Oklahoma",3682123,59,1.60233647816762
"233","2009","Oregon",2384990,130,5.45075660694594
"234","2009","Pennsylvania",12538883,46,0.366858834235873
"235","2009","Rhode Island",1053209,36,3.41812498753809
"236","2009","South Carolina",4554167,124,2.72278113648445
"237","2009","South Dakota",724778,42,5.79487787984735
"238","2009","Tennessee",6296254,169,2.68413567813497
"239","2009","Texas",24770372,165,0.666118377229054
"240","2009","Utah",2747172,48,1.74725135521183
"241","2009","Vermont",607236,24,3.9523348418078
"242","2009","Virginia",7882590,150,1.90292784478198
"243","2009","Washington",6651663,208,3.12703755436798
"244","2009","West Virginia",1674227,24,1.43349736923368
"245","2009","Wisconsin",5650571,54,0.955655631970645
"246","2010","Alabama",3762738,19,0.504951447589495
"247","2010","Alaska",290334,7,2.41101627780418
"248","2010","Arizona",6328446,236,3.72919354925364
"249","2010","Arkansas",2752987,63,2.28842344696869
"250","2010","California",37200288,1092,2.93546114481694
"251","2010","Colorado",4908638,154,3.13732648445455
"252","2010","Connecticut",3574097,147,4.11292698547353
"253","2010","Delaware",897934,20,2.22733519390067
"254","2010","District of Columbia",601723,57,9.47279728380002
"255","2010","Florida",18705419,136,0.727062034803925
"256","2010","Georgia",7653795,17,0.222112037231204
"257","2010","Idaho",1554255,28,1.80150618785206
"258","2010","Illinois",10497883,94,0.895418628689232
"259","2010","Indiana",3720793,94,2.52634317469421
"260","2010","Iowa",2968611,17,0.572658391416053
"261","2010","Kansas",2230776,58,2.59999211036877
"262","2010","Kentucky",3202734,173,5.40163497811557
"263","2010","Louisiana",2617664,13,0.496625999364319
"264","2010","Maine",1328361,61,4.5921251828381
"265","2010","Maryland",5773552,80,1.38562881221127
"266","2010","Massachusetts",6296379,316,5.0187576065545
"267","2010","Michigan",9703717,304,3.13282013479989
"268","2010","Minnesota",2698621,127,4.70610730443438
"269","2010","Mississippi",794800,11,1.38399597382989
"270","2010","Missouri",5987789,142,2.37149305027281
"271","2010","Montana",981587,31,3.15815103500759
"272","2010","Nebraska",1534659,61,3.97482437466564
"273","2010","Nevada",2700551,68,2.51800465904921
"274","2010","New Hampshire",1155769,31,2.68219687498107
"275","2010","New Jersey",8790283,543,6.17727552116354
"276","2010","New Mexico",1130803,24,2.12238559678388
"277","2010","New York",19307186,699,3.62041366359655
"278","2010","North Carolina",9534813,94,0.985860970739542
"279","2010","North Dakota",659331,8,1.21335110892708
"280","2010","Ohio",9667899,247,2.55484671488604
"281","2010","Oklahoma",3713732,49,1.31942746541754
"282","2010","Oregon",3286084,134,4.07780202818918
"283","2010","Pennsylvania",12659293,57,0.450262111794079
"284","2010","Rhode Island",1052567,20,1.9001165721517
"285","2010","South Carolina",4614153,109,2.36229704563329
"286","2010","South Dakota",723676,51,7.04735268269225
"287","2010","Tennessee",6346105,147,2.31638146548158
"288","2010","Texas",25083730,174,0.693676737869527
"289","2010","Utah",2718676,63,2.31730445260855
"290","2010","Vermont",614990,17,2.76427258979821
"291","2010","Virginia",8001024,175,2.18722003583541
"292","2010","Washington",6717480,232,3.45367608091129
"293","2010","West Virginia",1713013,33,1.92643021389797
"294","2010","Wisconsin",5682402,93,1.63663183280592
"295","2011","Alabama",2285487,NA,NA
"296","2011","Alaska",304924,NA,NA
"297","2011","Arizona",6225041,NA,NA
"298","2011","Arkansas",2804225,NA,NA
"299","2011","California",37691912,NA,NA
"300","2011","Colorado",4992496,NA,NA
"301","2011","Connecticut",3580709,NA,NA
"302","2011","Delaware",907135,NA,NA
"303","2011","District of Columbia",617996,NA,NA
"304","2011","Florida",18945433,NA,NA
"305","2011","Georgia",8600353,NA,NA
"306","2011","Idaho",1583018,NA,NA
"307","2011","Illinois",9959109,NA,NA
"308","2011","Indiana",3701222,NA,NA
"309","2011","Iowa",2904419,NA,NA
"310","2011","Kansas",2426569,NA,NA
"311","2011","Kentucky",3581320,NA,NA
"312","2011","Louisiana",2448022,NA,NA
"313","2011","Maine",1328188,NA,NA
"314","2011","Maryland",5828289,NA,NA
"315","2011","Massachusetts",6361208,NA,NA
"316","2011","Michigan",9569653,NA,NA
"317","2011","Minnesota",3992533,NA,NA
"318","2011","Mississippi",748806,NA,NA
"319","2011","Missouri",6001755,NA,NA
"320","2011","Montana",988577,NA,NA
"321","2011","Nebraska",1478313,NA,NA
"322","2011","Nevada",2183002,NA,NA
"323","2011","New Hampshire",1176668,NA,NA
"324","2011","New Jersey",8819533,NA,NA
"325","2011","New Mexico",973183,NA,NA
"326","2011","New York",19297804,NA,NA
"327","2011","North Carolina",9655664,NA,NA
"328","2011","North Dakota",666780,NA,NA
"329","2011","Ohio",9879527,NA,NA
"330","2011","Oklahoma",3790684,NA,NA
"331","2011","Oregon",2437231,NA,NA
"332","2011","Pennsylvania",12565359,NA,NA
"333","2011","Rhode Island",1051302,NA,NA
"334","2011","South Carolina",4668211,NA,NA
"335","2011","South Dakota",731246,NA,NA
"336","2011","Tennessee",6403353,NA,NA
"337","2011","Texas",25629269,NA,NA
"338","2011","Utah",2775105,NA,NA
"339","2011","Vermont",619283,NA,NA
"340","2011","Virginia",8087318,NA,NA
"341","2011","Virgin Islands1",NA,NA,NA
"342","2011","Washington",6822528,NA,NA
"343","2011","West Virginia",1689892,NA,NA
"344","2012","Alabama",141235,NA,NA
"345","2012","Alaska",315266,NA,NA
"346","2012","Arizona",5974180,NA,NA
"347","2012","Arkansas",2748544,NA,NA
"348","2012","California",37933751,NA,NA
"349","2012","Colorado",5109141,NA,NA
"350","2012","Connecticut",3574937,NA,NA
"351","2012","Delaware",917092,NA,NA
"352","2012","District of Columbia",632323,NA,NA
"353","2012","Florida",19224398,NA,NA
"354","2012","Georgia",7696372,NA,NA
"355","2012","Guam1",0,NA,NA
"356","2012","Idaho",1595241,NA,NA
"357","2012","Illinois",12297695,NA,NA
"358","2012","Indiana",2684625,NA,NA
"359","2012","Iowa",2935796,NA,NA
"360","2012","Kansas",2258766,NA,NA
"361","2012","Kentucky",3653352,NA,NA
"362","2012","Louisiana",2213017,NA,NA
"363","2012","Maine",1329192,NA,NA
"364","2012","Maryland",5884563,NA,NA
"365","2012","Massachusetts",5736749,NA,NA
"366","2012","Michigan",9666469,NA,NA
"367","2012","Minnesota",3834480,NA,NA
"368","2012","Mississippi",707165,NA,NA
"369","2012","Missouri",6019690,NA,NA
"370","2012","Montana",995410,NA,NA
"371","2012","Nebraska",673815,NA,NA
"372","2012","Nevada",2195232,NA,NA
"373","2012","New Hampshire",1186056,NA,NA
"374","2012","New Mexico",223466,NA,NA
"375","2012","New York",19222847,NA,NA
"376","2012","North Carolina",9750451,NA,NA
"377","2012","North Dakota",689607,NA,NA
"378","2012","Ohio",9841632,NA,NA
"379","2012","Oklahoma",1363283,NA,NA
"380","2012","Oregon",2015920,NA,NA
"381","2012","Pennsylvania",12635883,NA,NA
"382","2012","Rhode Island",1049246,NA,NA
"383","2012","South Carolina",4714086,NA,NA
"384","2012","South Dakota",756389,NA,NA
"385","2012","Tennessee",6456188,NA,NA
"386","2012","Texas",3484920,NA,NA
"387","2012","Utah",2799874,NA,NA
"388","2012","Vermont",622979,NA,NA
"389","2012","Virginia",8185867,NA,NA
"390","2012","Virgin Islands1",0,NA,NA
"391","2012","Washington",6890640,NA,NA
"392","2012","West Virginia",1733977,NA,NA
"393","2013","Alabama",1147612,NA,NA
"394","2013","Alaska",730950,NA,NA
"395","2013","Arizona",6358545,NA,NA
"396","2013","Arkansas",2809536,NA,NA
"397","2013","California",38324460,NA,NA
"398","2013","Colorado",5163276,NA,NA
"399","2013","Connecticut",3566367,NA,NA
"400","2013","Delaware",925749,NA,NA
"401","2013","District of Columbia",646449,NA,NA
"402","2013","Florida",19455529,NA,NA
"403","2013","Georgia",7817674,NA,NA
"404","2013","Guam1",0,NA,NA
"405","2013","Idaho",1611676,NA,NA
"406","2013","Illinois",12269532,NA,NA
"407","2013","Indiana",4034953,NA,NA
"408","2013","Iowa",2958457,NA,NA
"409","2013","Kansas",2665446,NA,NA
"410","2013","Kentucky",4334254,NA,NA
"411","2013","Louisiana",3237092,NA,NA
"412","2013","Maine",1328302,NA,NA
"413","2013","Maryland",5928814,NA,NA
"414","2013","Massachusetts",6496451,NA,NA
"415","2013","Michigan",9733958,NA,NA
"416","2013","Minnesota",4904213,NA,NA
"417","2013","Mississippi",1497332,NA,NA
"418","2013","Missouri",6040074,NA,NA
"419","2013","Montana",1000016,NA,NA
"420","2013","Nebraska",1511235,NA,NA
"421","2013","Nevada",2229342,NA,NA
"422","2013","New Hampshire",1178087,NA,NA
"423","2013","New Jersey",8898292,NA,NA
"424","2013","New Mexico",888880,NA,NA
"425","2013","New York",19515678,NA,NA
"426","2013","North Carolina",9845983,NA,NA
"427","2013","North Dakota",722021,NA,NA
"428","2013","Ohio",10376248,NA,NA
"429","2013","Oklahoma",3850568,NA,NA
"430","2013","Oregon",2301273,NA,NA
"431","2013","Pennsylvania",12657821,NA,NA
"432","2013","Rhode Island",1051511,NA,NA
"433","2013","South Carolina",4761406,NA,NA
"434","2013","South Dakota",767653,NA,NA
"435","2013","Tennessee",6495978,NA,NA
"436","2013","Texas",26304575,NA,NA
"437","2013","Utah",2883607,NA,NA
"438","2013","Vermont",623447,NA,NA
"439","2013","Virginia",8258337,NA,NA
"440","2013","Virgin Islands1",0,NA,NA
"441","2013","Washington",6967181,NA,NA
"442","2014","Alabama",794907,NA,NA
"443","2014","Alaska",732371,NA,NA
"444","2014","Arizona",6433584,NA,NA
"445","2014","Arkansas",2661818,NA,NA
"446","2014","California",38802500,NA,NA
"447","2014","Colorado",5268592,NA,NA
"448","2014","Connecticut",3375662,NA,NA
"449","2014","Delaware",935614,NA,NA
"450","2014","District of Columbia",658893,NA,NA
"451","2014","Florida",19794279,NA,NA
"452","2014","Georgia",8204655,NA,NA
"453","2014","Guam1",NA,NA,NA
"454","2014","Idaho",1634011,NA,NA
"455","2014","Illinois",12029618,NA,NA
"456","2014","Indiana",6093574,NA,NA
"457","2014","Iowa",2974604,NA,NA
"458","2014","Kansas",2843179,NA,NA
"459","2014","Kentucky",4386536,NA,NA
"460","2014","Louisiana",2706155,NA,NA
"461","2014","Maine",1330089,NA,NA
"462","2014","Maryland",5976407,NA,NA
"463","2014","Massachusetts",6485973,NA,NA
"464","2014","Michigan",9732430,NA,NA
"465","2014","Minnesota",5287138,NA,NA
"466","2014","Mississippi",1349655,NA,NA
"467","2014","Missouri",6061406,NA,NA
"468","2014","Montana",992702,NA,NA
"469","2014","Nebraska",1763318,NA,NA
"470","2014","Nevada",2834483,NA,NA
"471","2014","New Hampshire",1238190,NA,NA
"472","2014","New Jersey",8936591,NA,NA
"473","2014","New Mexico",717010,NA,NA
"474","2014","New York",19652379,NA,NA
"475","2014","North Carolina",9942854,NA,NA
"476","2014","North Dakota",738176,NA,NA
"477","2014","Ohio",9711237,NA,NA
"478","2014","Oklahoma",3878051,NA,NA
"479","2014","Oregon",1526458,NA,NA
"480","2014","Pennsylvania",12587318,NA,NA
"481","2014","Rhode Island",1054130,NA,NA
"482","2014","South Carolina",4813088,NA,NA
"483","2014","South Dakota",776484,NA,NA
"484","2014","Tennessee",6519911,NA,NA
"485","2014","Texas",26922758,NA,NA
"486","2014","Utah",2926391,NA,NA
"487","2014","Vermont",626306,NA,NA
"488","2014","Virginia",8324943,NA,NA
"489","2014","U.S. Virgin Islands1",NA,NA,NA
"490","2014","Washington",7051748,NA,NA
"491","2015","Alabama",1252146,NA,NA
"492","2015","Alaska",734820,NA,NA
"493","2015","Arizona",6622880,NA,NA
"494","2015","Arkansas",2754543,NA,NA
"495","2015","California",39137326,NA,NA
"496","2015","Colorado",5445853,NA,NA
"497","2015","Connecticut",3399068,NA,NA
"498","2015","Delaware",945934,NA,NA
"499","2015","District of Columbia",672228,NA,NA
"500","2015","Florida",5356877,NA,NA
"501","2015","Georgia",7991234,NA,NA
"502","2015","Idaho",1654475,NA,NA
"503","2015","Illinois",12501008,NA,NA
"504","2015","Indiana",3224755,NA,NA
"505","2015","Iowa",3105094,NA,NA
"506","2015","Kansas",2741323,NA,NA
"507","2015","Kentucky",4402368,NA,NA
"508","2015","Louisiana",3711824,NA,NA
"509","2015","Maine",1329328,NA,NA
"510","2015","Maryland",6006401,NA,NA
"511","2015","Massachusetts",6566279,NA,NA
"512","2015","Michigan",9834270,NA,NA
"513","2015","Minnesota",5218435,NA,NA
"514","2015","Mississippi",763830,NA,NA
"515","2015","Missouri",6079483,NA,NA
"516","2015","Montana",1023807,NA,NA
"517","2015","Nebraska",1821196,NA,NA
"518","2015","Nevada",2890845,NA,NA
"519","2015","New Hampshire",1267715,NA,NA
"520","2015","New Jersey",8956395,NA,NA
"521","2015","New Mexico",574972,NA,NA
"522","2015","New York",19766342,NA,NA
"523","2015","North Carolina",10041690,NA,NA
"524","2015","North Dakota",756927,NA,NA
"525","2015","Ohio",9781677,NA,NA
"526","2015","Oklahoma",3896985,NA,NA
"527","2015","Oregon",1671416,NA,NA
"528","2015","Pennsylvania",12550581,NA,NA
"529","2015","Rhode Island",1056298,NA,NA
"530","2015","South Carolina",4826241,NA,NA
"531","2015","South Dakota",782152,NA,NA
"532","2015","Tennessee",6600299,NA,NA
"533","2015","Texas",27390337,NA,NA
"534","2015","Utah",2966781,NA,NA
"535","2015","Vermont",626042,NA,NA
"536","2015","Virginia",8380278,NA,NA
"537","2015","Washington",7163444,NA,NA
"538","2015","West Virginia",1494503,NA,NA
"539","2015","Wisconsin",5580752,NA,NA
"540","2016","Alabama",1013839,NA,NA
"541","2016","Alaska",738566,NA,NA
"542","2016","Arizona",6361910,NA,NA
"543","2016","Arkansas",2853645,NA,NA
"544","2016","California",39242633,NA,NA
"545","2016","Colorado",5519770,NA,NA
"546","2016","Connecticut",3576452,NA,NA
"547","2016","Delaware",952065,NA,NA
"548","2016","District of Columbia",681170,NA,NA
"549","2016","Florida",8988095,NA,NA
"550","2016","Georgia",8216137,NA,NA
"551","2016","Idaho",1683140,NA,NA
"552","2016","Illinois",12373460,NA,NA
"553","2016","Indiana",2874580,NA,NA
"554","2016","Iowa",3113786,NA,NA
"555","2016","Kansas",2591338,NA,NA
"556","2016","Kentucky",4427530,NA,NA
"557","2016","Louisiana",3560451,NA,NA
"558","2016","Maine",1331479,NA,NA
"559","2016","Maryland",6016447,NA,NA
"560","2016","Massachusetts",6637616,NA,NA
"561","2016","Michigan",9847710,NA,NA
"562","2016","Minnesota",5178985,NA,NA
"563","2016","Mississippi",585454,NA,NA
"564","2016","Missouri",6089857,NA,NA
"565","2016","Montana",1042048,NA,NA
"566","2016","Nebraska",1846626,NA,NA
"567","2016","Nevada",2940058,NA,NA
"568","2016","New Hampshire",1275170,NA,NA
"569","2016","New Jersey",8942857,NA,NA
"570","2016","New Mexico",576958,NA,NA
"571","2016","New York",19738790,NA,NA
"572","2016","North Carolina",10145637,NA,NA
"573","2016","North Dakota",757493,NA,NA
"574","2016","Ohio",9573452,NA,NA
"575","2016","Oklahoma",3869095,NA,NA
"576","2016","Oregon",3547910,NA,NA
"577","2016","Pennsylvania",12644372,NA,NA
"578","2016","Rhode Island",1056426,NA,NA
"579","2016","South Carolina",4936962,NA,NA
"580","2016","South Dakota",787337,NA,NA
"581","2016","Tennessee",6651194,NA,NA
"582","2016","Texas",27862596,NA,NA
"583","2016","Utah",3014190,NA,NA
"584","2016","Vermont",624594,NA,NA
"585","2016","Virginia",8411424,NA,NA
"586","2016","Washington",7282106,NA,NA
"587","2016","West Virginia",1621366,NA,NA
"588","2016","Wisconsin",5652781,NA,NA
"589","2017","Alabama",2918324,NA,NA
"590","2017","Alaska",736205,NA,NA
"591","2017","Arizona",6755795,NA,NA
"592","2017","Arkansas",2836240,NA,NA
"593","2017","California",39529144,NA,NA
"594","2017","Colorado",5575629,NA,NA
"595","2017","Connecticut",3588184,NA,NA
"596","2017","Delaware",961939,NA,NA
"597","2017","District of Columbia",693972,NA,NA
"598","2017","Florida",20515334,NA,NA
"599","2017","Georgia",8948013,NA,NA
"600","2017","Idaho",1699259,NA,NA
"601","2017","Illinois",12270234,NA,NA
"602","2017","Indiana",2287298,NA,NA
"603","2017","Iowa",3104739,NA,NA
"604","2017","Kansas",2620785,NA,NA
